geoUnit,Year,RegionArea,VLNS,VLNS_num,VLS,VLS_num,HCTS,Population,ART2coverage,Unigold.HIV.1.2_Test_Eligible,CumNumPersNotOnART_perc,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Stockout,HIVprevalence_num,Efavirenz.600Mg.Tablets_Treatment_Eligible,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Available,Nevirapine.Oral.Solution_Treatment_Stockout,Nevirapine.Oral.Solution_Treatment_Available,Determine.HIV.1.2_Test_Stockout,Determine.HIV.1.2_Test_Unavailable,Nevirapine.Oral.Solution_Treatment_Unavailable_pct,Efavirenz.600Mg.Tablets_Treatment_Stockout,Efavirenz.600Mg.Tablets_Treatment_Unavailable,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Stockout,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Eligible,HIVprevalence,Unigold.HIV.1.2_Test_Unavailable,CumNumPersOnART,Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable,Unigold.HIV.1.2_Test_Unavailable_pct,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Eligible,Unigold.HIV.1.2_Test_Stockout,Nevirapine.Oral.Solution_Treatment_Eligible,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Unavailable_pct,Determine.HIV.1.2_Test_Unavailable_pct,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable,Zidovudine.60Mg.Lamivudine.30Mg.Nevirapine.50Mg.Tablets_Treatment_Unavailable_pct,rptHIVcases,Tenofovir.300Mg.Lamivudine.300Mg.Efavirenz.600Mg.Tablets_Treatment_Available,Nevirapine.Oral.Solution_Treatment_Unavailable,CumNumPersEnrolledInHIV,Efavirenz.600Mg.Tablets_Treatment_Available,Health_spendingPerCapita,CurrNumPersOnART,Unigold.HIV.1.2_Test_Available,VCTcases_new,NumPersPerSqKm
Manyara,2016,44522.0,100.0,0.0,0.0,0.0,38.5,1618000.0,0.013000000000000001,1169.0,39.012932314587296,53.0,40064.1111111111,756.0,619.0,105.0,931.0,107.0,137.0,0.13876040703052697,126.0,164.0,110.0,758.0,2.53333333333333,101.0,,0.21693121693121697,89.0,0.086398631308811,1111.0,69.0,1081.0,0.0801080108010801,0.140368852459016,139.0,0.183377308707124,,1022.0,150.0,,592.0,,,1068.0,,36.0
Mara,2016,21760.0,100.0,0.0,0.0,0.0,30.0625,1924200.0,0.027999999999999997,2187.0,47.160460872676296,267.0,104129.555555556,896.0,776.0,329.0,1853.0,489.0,348.0,0.114244741873805,376.0,144.0,350.0,908.0,3.6,300.0,,0.160714285714286,159.0,0.137174211248285,2056.0,379.0,2092.0,0.0773346303501945,0.17709923664122101,132.0,0.145374449339207,,1897.0,239.0,,752.0,,,1887.0,,88.0
Mbeya,2016,60350.0,26.5384301899096,3256.0,73.46156981009041,9013.0,38.3738425925926,3019400.0,0.018000000000000002,2342.0,47.46659043828979,84.0,243667.0,672.0,686.0,93.0,1975.0,152.0,113.0,0.0351734245236932,168.0,6.0,161.0,716.0,9.15,121.0,,0.0089285714285714,54.0,0.0516652433817251,2023.0,134.0,2047.0,0.0266930301532378,0.0606223175965666,30.0,0.0418994413407822,,1969.0,72.0,,666.0,,,2221.0,,50.0
Morogoro,2016,70624.0,100.0,0.0,0.0,0.0,29.2391975308642,2437400.0,0.073,2549.0,54.6539674768844,230.0,90599.8541666667,1149.0,934.0,250.0,2115.0,311.0,298.0,0.0828274067649609,323.0,225.0,306.0,1140.0,4.9,184.0,,0.195822454308094,135.0,0.0721851706551588,2205.0,202.0,2306.0,0.0612244897959183,0.129904097646033,206.0,0.18070175438596497,,2070.0,191.0,,924.0,,,2365.0,,35.0
Mtwara,2016,16710.0,100.0,0.0,0.0,0.0,39.3466435185185,1334600.0,0.048,1822.0,49.9376241740979,102.0,44948.0,1231.0,1034.0,69.0,1634.0,179.0,224.0,0.0646823125357756,217.0,241.0,182.0,1256.0,2.8,162.0,15555.0,0.195775792038993,139.0,0.0889132821075741,1732.0,100.0,1747.0,0.0802540415704388,0.136419001218027,222.0,0.176751592356688,,1593.0,113.0,,990.0,,,1660.0,,80.0
Mwanza,2016,9467.0,10.011809473822401,763.0,89.9881905261776,6858.0,31.7736625514403,3123000.0,0.032,2321.0,47.8858890123738,139.0,116445.0,1277.0,1113.0,171.0,2022.0,407.0,362.0,0.0699172033118676,391.0,177.0,375.0,1301.0,5.7,231.0,30283.3333333333,0.138606108065779,104.0,0.0995260663507109,2156.0,212.0,2174.0,0.0482374768089053,0.18785677218474303,188.0,0.144504227517294,,2052.0,152.0,,1100.0,,,2090.0,,330.0
Njombe,2016,21347.0,16.9172932330827,45.0,83.0827067669173,221.0,35.9411651234568,724800.0,0.034,2258.0,43.6172744860453,83.0,74217.6666666667,1114.0,921.0,77.0,2144.0,271.0,239.0,0.0445632798573975,352.0,272.0,335.0,1170.0,,127.0,,0.244165170556553,95.0,0.0562444641275465,2200.0,95.0,2244.0,0.0431818181818182,0.12815013404825698,249.0,0.21282051282051298,,2105.0,100.0,,842.0,,,2131.0,,34.0
Pwani,2016,32547.0,14.3117593436646,314.0,85.6882406563354,1880.0,33.5518542631173,1197900.0,0.038,2375.0,47.3804222442793,147.0,64821.0,1130.0,943.0,152.0,1791.0,222.0,277.0,0.10494752623688199,228.0,221.0,221.0,1180.0,5.9,182.0,,0.195575221238938,204.0,0.0766315789473684,1943.0,95.0,2001.0,0.104992279979413,0.13023037141513902,237.0,0.20084745762711897,,1739.0,210.0,,909.0,,,2193.0,,37.0
Rukwa,2016,22792.0,18.6675047140164,297.0,81.3324952859836,1294.0,160.600694444444,1142000.0,0.0042,1299.0,38.6168819506882,15.0,62281.0,346.0,335.0,21.0,1059.0,160.0,162.0,0.0346399270738378,16.0,-1.0,18.0,341.0,5.1,65.0,,-0.00289017341040454,23.0,0.0500384911470362,1057.0,47.0,1097.0,0.021759697256386,0.13647851727042998,6.0,0.0175953079178885,,1034.0,38.0,,347.0,,,1234.0,,50.0
Ruvuma,2016,63669.0,18.8606988989948,394.0,81.1393011010052,1695.0,31.2126645688657,1498800.0,0.019,2391.0,44.254119716365395,151.0,75785.5,1247.0,995.0,171.0,2042.0,343.0,378.0,0.11371527777777803,281.0,238.0,285.0,1235.0,6.3,244.0,,0.190858059342422,234.0,0.102049351735675,2239.0,168.0,2304.0,0.104510942384993,0.180947821924366,240.0,0.194331983805668,,2005.0,262.0,,1009.0,,,2147.0,,24.0
Shinyanga,2016,18901.0,13.8814016172507,103.0,86.1185983827493,639.0,38.6944444444444,1666600.0,0.0096,1634.0,40.42537825316379,53.0,45231.0,743.0,583.0,39.0,1496.0,131.0,210.0,0.0850152905198777,173.0,169.0,154.0,761.0,,183.0,,0.227456258411844,140.0,0.11199510403916803,1594.0,101.0,1635.0,0.0878293601003765,0.15250544662309398,178.0,0.233902759526938,,1454.0,139.0,,574.0,,,1451.0,,88.0
Simiyu,2016,25212.0,100.0,0.0,0.0,0.0,39.9537037037037,1705200.0,0.027000000000000003,1557.0,42.3137354138975,73.0,45231.0,688.0,597.0,92.0,1349.0,96.0,121.0,0.0854237288135593,116.0,84.0,113.0,695.0,4.0333333333333306,121.0,,0.12209302325581402,108.0,0.077713551701991,1429.0,75.0,1475.0,0.0755773268019594,0.0847932725998598,98.0,0.141007194244604,,1321.0,126.0,,604.0,,,1436.0,,68.0
Singida,2016,49340.0,100.0,0.0,0.0,0.0,38.4579475308642,1504000.0,0.023,1948.0,37.927884852587795,66.0,47362.25,480.0,450.0,74.0,1761.0,186.0,223.0,0.0481081081081081,53.0,56.0,63.0,516.0,3.3,122.0,,0.116666666666667,89.0,0.0626283367556468,1841.0,102.0,1850.0,0.0483432916892993,0.12598870056497197,66.0,0.127906976744186,,1752.0,89.0,,424.0,,,1826.0,,30.0
Tabora,2016,76150.0,14.423076923077,45.0,85.576923076923,267.0,31.2171402291506,2576100.0,0.024,2103.0,46.1835589584744,132.0,116445.0,1018.0,825.0,181.0,1732.0,351.0,376.0,0.137450199203187,172.0,151.0,169.0,985.0,5.1,287.0,,0.148330058939096,201.0,0.136471707085116,1975.0,186.0,2008.0,0.10177215189873401,0.20842572062084302,160.0,0.16243654822335002,,1774.0,276.0,,867.0,,,1816.0,,34.0
Tanga,2016,26677.0,0.0,0.0,100.0,4.0,29.400620699909997,2236100.0,0.034,2635.0,54.6539674768844,266.0,90599.8541666667,1303.0,999.0,273.0,2088.0,536.0,431.0,0.11749788672865599,468.0,344.0,463.0,1324.0,,228.0,,0.264006139677667,242.0,0.0865275142314991,2315.0,214.0,2366.0,0.10453563714902801,0.180940386230059,325.0,0.245468277945619,,2073.0,278.0,,959.0,,,2407.0,,84.0
